conv_gamma,lin_gamma,raw_mean,raw_std,raw_min,raw_percentile,raw_robustness_ratio,raw_stability,raw_robustness_score,norm_mean,norm_std,norm_min,norm_percentile,norm_robustness_ratio,norm_stability,norm_robustness_score,score_correlation,num_images
0.1,0.0,0.8285511448668937,0.3921387768431454,-0.1397186815738678,1.3061979085206985,0.9833333333333333,0.7183191910418796,0.42365184698972885,2.5498391216310363,3.9429537596131654,-0.1476873755455017,6.012648883461954,0.9833333333333333,0.20230818426233058,0.609918662720039,-0.20997251758078656,60
0.1,0.025,0.8134511842392385,0.39514246072055426,-0.137274831533432,1.2802688717842103,0.9833333333333333,0.7167726796040071,0.4211454414490104,2.5581427544821054,3.878567290185784,-0.14510416984558105,8.321899738907815,0.9833333333333333,0.20497821194589247,0.6134136798752898,-0.18437610636039067,60
0.1,0.05,0.7916087280182789,0.3954952074118351,0.06346320081502199,1.3320109963417053,1.0,0.7165914971894866,0.4986844750865105,2.3729722048699236,3.5969060680245084,0.12980861961841583,6.289552938938143,1.0,0.2175376188249467,0.6917791744688351,-0.16622632257272316,60
0.1,0.075,0.7788942089304328,0.3926567291886942,0.05178136331960559,1.2979243814945223,1.0,0.7180520361127036,0.49190699794773995,2.3136537787504494,3.412483177058492,0.11784638464450836,7.281861972808839,1.0,0.2266297592247441,0.6778582373753165,-0.18349061971683495,60
0.1,0.1,0.7695430622979378,0.38765189421523516,0.051387119106948376,1.2975518375635147,1.0,0.7206418296755429,0.4906560090050298,2.296104795532301,3.430751740312335,0.11335767805576324,6.2503917694091795,1.0,0.22569533537654435,0.6722726309417287,-0.18973901786171368,60
0.1,0.15,0.7532409317869072,0.3916672317692233,0.05202818987891078,1.3108157724142075,1.0,0.7185625824707407,0.48702823705016796,2.185451382646958,3.1259560018557115,0.11480171978473663,6.606262326240541,1.0,0.24236807167847518,0.6557213859468288,-0.1865413795242487,60
0.1,0.25,0.7417135121611257,0.4021029425407844,-0.05953548848628998,1.2923992782831193,0.9833333333333333,0.7132143936506374,0.4368261584662337,2.0865115352207795,2.9921773330642565,-0.06293103098869324,5.953631329536439,0.9833333333333333,0.2504898747151682,0.5656101903965625,-0.1642431317091613,60
0.15,0.0,0.8312713787890971,0.39946846291008214,-0.17951372265815735,1.2905062943696977,0.9833333333333333,0.7145570096810759,0.4071492229322126,2.5408609353859597,3.8968108688056176,-0.18975207209587097,6.047020468115807,0.9833333333333333,0.20421454428030833,0.5918690548562693,-0.20519074428233808,60
0.15,0.025,0.8179921218349288,0.3971878568781775,-0.13398024439811707,1.3138305008411408,0.9833333333333333,0.7157233689636849,0.42305667063017777,2.5269515877900024,3.7684171902297052,-0.1416216790676117,8.148021060228348,0.9833333333333333,0.20971319414940448,0.6099889375091105,-0.18815084220544367,60
0.15,0.05,0.7937151485006325,0.39751844203901376,0.06268240697681904,1.3479996144771575,1.0,0.7155540634876886,0.49848221153716066,2.4118908549154487,3.648600832932241,0.07977946102619171,7.894244277477266,1.0,0.2151184917654504,0.6788255029232015,-0.1709426654580073,60
0.15,0.075,0.7779848616958286,0.39827980532535473,0.06610773969441652,1.3057404518127442,1.0,0.7151644443347431,0.4965894015173553,2.223787784824769,3.1952211657506626,0.08926697075366974,5.920332527160648,1.0,0.2383664556624316,0.6519742819651512,-0.18132845236627593,60
0.15,0.1,0.7753390044245558,0.3852383781887336,0.05004857340827584,1.2857100427150727,1.0,0.72189741184297,0.49165645380111245,2.355511789788337,3.510124608456395,0.1286148577928543,7.0172535419464115,1.0,0.2217233639454262,0.689065310258437,-0.19400587789069876,60
0.15,0.15,0.7506644777293938,0.3914232775324127,0.03146138787269592,1.3040994316339494,1.0,0.7186885659793092,0.4783240204887499,2.2061774230989006,3.172418421516541,0.03325575590133667,6.869029945135118,1.0,0.23966915562522415,0.626438533667882,-0.18557259070920068,60
0.15,0.25,0.7456217293278314,0.4043746903450681,-0.17864568531513214,1.2796190202236175,0.9833333333333333,0.7120606821490714,0.38961760971756815,2.1492077296987797,3.20432347876636,-0.18883459270000458,5.830631625652315,0.9833333333333333,0.2378503949685198,0.5239961606836434,-0.14677044803646078,60
0.25,0.0,0.8323838166659698,0.40250271045445946,-0.14305216073989868,1.2745564609766007,0.9833333333333333,0.7130110997617719,0.4214925622990994,2.5588266503221044,3.9989772873933656,-0.1512109935283661,6.289478740096092,0.9833333333333333,0.20004091687350584,0.6096265410484596,-0.19486823958995722,60
0.25,0.025,0.8186862181716908,0.39695178547838794,-0.14165069162845612,1.3185585260391235,0.9833333333333333,0.7158443193209769,0.4201635961125821,2.4761695547339815,3.629951352272167,-0.14972969889640808,7.899331164360048,0.9833333333333333,0.21598499075141384,0.5984708619469905,-0.17907486552316984,60
0.25,0.05,0.7955244024439404,0.40084211286783705,0.026038169860839844,1.3611945271492005,1.0,0.7138563231460656,0.48367704537694367,2.4151255988826352,3.619606886267181,0.02752324938774109,7.430029511451723,1.0,0.21646863566956845,0.658975010232494,-0.1644109378617071,60
0.25,0.075,0.7820407850357394,0.39611139035994475,0.06382779777050018,1.3094438701868056,1.0,0.7162752248172551,0.4968218435605245,2.297966928392028,3.301043690322411,0.06746810674667358,6.6629980564117455,1.0,0.2325017070275422,0.6563311404853377,-0.19177064983592676,60
0.25,0.1,0.7689233430952299,0.39251306701499955,-0.007394701242446899,1.3001341849565506,0.9833333333333333,0.7181261157883472,0.46459795619190475,2.3448850105012147,3.5250690621337935,-0.007816433906555176,7.396451324224474,0.9833333333333333,0.2209911022945693,0.6304810925593249,-0.17481470248312458,60
0.25,0.15,0.751657034875825,0.39548024006920507,-0.10087759792804718,1.2734047055244446,0.9833333333333333,0.7165991830528591,0.4232934560531372,2.23426728323102,3.277940243448667,-0.10663099586963654,6.953395873308183,0.9833333333333333,0.2337573558984192,0.5726615984012084,-0.16896568511607898,60
0.25,0.25,0.7340077855119792,0.41377837630950504,-0.31623654067516327,1.2997003823518753,0.9833333333333333,0.7073244411973376,0.33083760652486516,2.0813008848422516,3.0788428114593778,-0.3342728391289711,5.168647694587711,0.9833333333333333,0.2451675747813895,0.45443464708461206,-0.12750392829533397,60
0.4,0.0,0.8359760936970512,0.40197987010139835,-0.16742822527885437,1.2802102684974672,0.9833333333333333,0.713277002991259,0.4125403628585795,2.5488485844805835,3.8789382557605,-0.17697733640670776,6.527600118517876,0.9833333333333333,0.20496262661641856,0.5988009036516926,-0.2079280261770135,60
0.4,0.025,0.8154281124317397,0.3965824711651905,-0.15712055563926697,1.3220376342535018,0.9833333333333333,0.7160336182407363,0.4133808190361954,2.5214238676863414,3.765109725285169,-0.16608178615570068,8.238952985405923,0.9833333333333333,0.20985875617799224,0.5991430192617191,-0.17222721519354003,60
0.4,0.05,0.7897944480413571,0.40064825934764836,-0.010896652936935425,1.3511872082948686,0.9833333333333333,0.7139551227984603,0.46612009860636866,2.3560631597569834,3.4659300577660117,-0.011518090963363647,6.822526016831401,0.9833333333333333,0.2239175238002337,0.6321139860394547,-0.16375122621605248,60
