input_idx,image_label,raw_mean,raw_median,raw_std,raw_min,raw_max,raw_count,norm_mean,norm_median,norm_std,norm_min,norm_max,norm_count
0,GA00,1.2870174334162758,1.3161853104829788,0.09169800558335618,0.9608053863048553,1.4034618139266968,42,1.3729595141041846,1.4040750563144684,0.0978212516676086,1.0249642580747604,1.4971796870231628,42
1,GA01,1.228374549143371,1.2801716327667236,0.1745111812468528,0.7102433815598488,1.4065706729888916,42,1.3242686772275538,1.3801093101501465,0.18813454467209226,0.7656891122460365,1.5163757801055908,42
2,GA02,0.47226451408295406,0.4713822975754738,0.06729433120660906,0.30903327465057373,0.6132262349128723,42,0.5089788999231089,0.5080280378460884,0.07252585774522192,0.33305788040161133,0.6608992367982864,42
3,GA03,1.2513950495492845,1.255544900894165,0.0282079430151123,1.1707828640937805,1.290808081626892,42,1.335450862135206,1.3398794531822205,0.030102662099324256,1.2494239211082458,1.3775112628936768,42
4,GA04,1.3030880341927211,1.3062391430139542,0.041507505827379026,1.2130616903305054,1.384043276309967,42,1.4181132465600967,1.4215424954891205,0.04517143388287814,1.3201401233673096,1.5062145590782166,42
5,GA05,0.6223384982773236,0.6216324847191572,0.019948529744447205,0.569187831133604,0.6673186644911766,42,15.658881789162045,15.641117811203003,0.5019320552010049,14.321538805961609,16.7906436920166,42
6,GA40,0.380679591071038,0.34473881125450134,0.11324362174611173,0.2114717960357666,0.6974709779024124,42,0.40405537755716414,0.36590762436389923,0.1201973999554209,0.22445720434188843,0.7402995526790619,42
7,GA41,0.9997573736168089,0.9806277602910995,0.07263277299699175,0.9133391082286835,1.1524245142936707,42,1.0702481553668068,1.0497697442770004,0.07775397758716755,0.9777367115020752,1.2336795926094055,42
8,GA60,0.6310933471790382,0.652778796851635,0.06219690947768649,0.4691591262817383,0.7012450024485588,42,0.6470032988027448,0.669235497713089,0.06376489395926767,0.48098671436309814,0.7189234271645546,42
9,NN00,1.3063507967052006,1.3188117444515228,0.09280961318703426,1.110474854707718,1.436294436454773,42,1.3661548445622127,1.3791862428188324,0.09705838932396216,1.1613118648529053,1.5020471811294556,42
10,NN01,0.4140543203268732,0.3350696712732315,0.16891223595160146,0.24989169836044312,0.7984021827578545,42,0.42388127914940316,0.34302203357219696,0.17292110647732398,0.25582247972488403,0.8173510506749153,42
11,NN02,0.7877217809714022,0.7301558256149292,0.1657385737859821,0.6018793731927872,1.1168892681598663,42,0.8346974192453283,0.7736985608935356,0.1756223743311015,0.6377722769975662,1.183494746685028,42
12,NN03,0.9684870814893484,0.9709873348474503,0.10059971431543131,0.759721502661705,1.1598528921604156,42,1.0129554028833463,1.0155704468488693,0.10521878001939267,0.7946042940020561,1.213107854127884,42
