conv_gamma,lin_gamma,raw_mean,raw_median,raw_std,raw_min,raw_max,raw_count,norm_mean,norm_median,norm_std,norm_min,norm_max,norm_count,score_correlation
0.1,0.0,0.8285511448668937,0.8929328918457031,0.3954480235027637,-0.1397186815738678,1.524782121181488,60,2.5498391216310363,1.1649187952280045,3.976228220922683,-0.1476873755455017,19.01265650987625,60,-0.20997251758078656
0.1,0.025,0.8134511842392385,0.8316574743948877,0.39847705537283423,-0.137274831533432,1.5646106600761414,60,2.5581427544821054,1.1302148401737213,3.9112983961286316,-0.14510416984558105,17.726168036460876,60,-0.18437610636039067
0.1,0.05,0.7916087280182789,0.7697720341384411,0.3988327788822182,0.06346320081502199,1.5369210839271545,60,2.3729722048699236,1.113862507045269,3.627260243876216,0.12980861961841583,17.199321687221527,60,-0.16622632257272316
0.1,0.075,0.7788942089304328,0.710085816681385,0.39597034683167476,0.05178136331960559,1.5424873232841492,60,2.3136537787504494,1.1409694254398346,3.441281014001817,0.11784638464450836,15.681785821914673,60,-0.18349061971683495
0.1,0.1,0.7695430622979378,0.6812447383999825,0.39092327621513234,0.051387119106948376,1.5523512959480286,60,2.296104795532301,1.128106765449047,3.4597037450796404,0.11335767805576324,15.726841688156128,60,-0.18973901786171368
0.1,0.15,0.7532409317869072,0.6677172891795635,0.3949724990749675,0.05202818987891078,1.5613250732421875,60,2.185451382646958,1.1137625500559807,3.152335845085019,0.11480171978473663,15.648014903068542,60,-0.1865413795242487
0.1,0.25,0.7417135121611257,0.6544746458530426,0.4054962764776573,-0.05953548848628998,1.5727681517601013,60,2.0865115352207795,1.0729774609208107,3.017428222364573,-0.06293103098869324,15.696651935577393,60,-0.1642431317091613
0.15,0.0,0.8312713787890971,0.8837191765196621,0.4028395645571828,-0.17951372265815735,1.5424160957336426,60,2.5408609353859597,1.1680774614214897,3.9296959317279123,-0.18975207209587097,18.577684581279755,60,-0.20519074428233808
0.15,0.025,0.8179921218349288,0.8228149637579918,0.4005397125635455,-0.13398024439811707,1.56282240152359,60,2.5269515877900024,1.1278555616736412,3.800218742984085,-0.1416216790676117,17.178061604499817,60,-0.18815084220544367
0.15,0.05,0.7937151485006325,0.7500499077141285,0.4008730875220347,0.06268240697681904,1.53201425075531,60,2.4118908549154487,1.1479119658470154,3.6793912592600377,0.07977946102619171,16.2670459151268,60,-0.1709426654580073
0.15,0.075,0.7779848616958286,0.7241894844919443,0.401640875928922,0.06610773969441652,1.541254460811615,60,2.223787784824769,1.1543614119291306,3.2221855354940065,0.08926697075366974,15.543212532997131,60,-0.18132845236627593
0.15,0.1,0.7753390044245558,0.6984535157680511,0.38848939260368315,0.05004857340827584,1.53329199552536,60,2.355511789788337,1.130074791610241,3.5397464383322603,0.1286148577928543,15.634220719337463,60,-0.19400587789069876
0.15,0.15,0.7506644777293938,0.6575314700603485,0.39472648611611527,0.03146138787269592,1.5632246136665344,60,2.2061774230989006,1.0692247822880745,3.199190359626895,0.03325575590133667,15.577667117118835,60,-0.18557259070920068
0.15,0.25,0.7456217293278314,0.6902826204895973,0.40778719548937276,-0.17864568531513214,1.5776695013046265,60,2.1492077296987797,1.0580194517970085,3.231364662639602,-0.18883459270000458,15.359691500663757,60,-0.14677044803646078
0.25,0.0,0.8323838166659698,0.8697658341843635,0.40589941802003504,-0.14305216073989868,1.5337498784065247,60,2.5588266503221044,1.177165575325489,4.032724529471108,-0.1512109935283661,20.40606516599655,60,-0.19486823958995722
0.25,0.025,0.8186862181716908,0.8704508068040013,0.40030164896472525,-0.14165069162845612,1.5275103449821472,60,2.4761695547339815,1.1151315942406654,3.6605843962261138,-0.14972969889640808,17.456178665161133,60,-0.17907486552316984
0.25,0.05,0.7955244024439404,0.7632931638509035,0.4042248067032206,0.026038169860839844,1.5595414638519287,60,2.4151255988826352,1.1156376004219055,3.65015263360168,0.02752324938774109,16.510415852069855,60,-0.1644109378617071
0.25,0.075,0.7820407850357394,0.6996638476848602,0.3994541617786195,0.06382779777050018,1.5420809388160706,60,2.297966928392028,1.1656506806612015,3.328901092983261,0.06746810674667358,15.121956944465637,60,-0.19177064983592676
0.25,0.1,0.7689233430952299,0.711294973269105,0.39582547229746773,-0.007394701242446899,1.5412538051605225,60,2.3448850105012147,1.0928693041205406,3.5548170077786994,-0.007816433906555176,15.555404663085938,60,-0.17481470248312458
0.25,0.15,0.751657034875825,0.6493457965552807,0.39881768523065986,-0.10087759792804718,1.5512643456459045,60,2.23426728323102,1.0725646018981934,3.3056026768565197,-0.10663099586963654,15.887921690940857,60,-0.16896568511607898
0.25,0.25,0.7340077855119792,0.6737093632109463,0.41727023886043085,-0.31623654067516327,1.58536958694458,60,2.0813008848422516,1.0378181785345078,3.104825067974108,-0.3342728391289711,15.458506464958191,60,-0.12750392829533397
0.4,0.0,0.8359760936970512,0.865138316527009,0.40537216543387156,-0.16742822527885437,1.537527084350586,60,2.5488485844805835,1.2050491869449615,3.9116724922700286,-0.17697733640670776,17.98275601863861,60,-0.2079280261770135
0.4,0.025,0.8154281124317397,0.8682561852037907,0.39992921801979053,-0.15712055563926697,1.5150163173675537,60,2.5214238676863414,1.1086921319365501,3.7968833664481276,-0.16608178615570068,17.470247626304626,60,-0.17222721519354003
0.4,0.05,0.7897944480413571,0.7777670621871948,0.40402931725934355,-0.010896652936935425,1.540276050567627,60,2.3560631597569834,1.1011420041322708,3.4951789312349066,-0.011518090963363647,16.02532070875168,60,-0.16375122621605248
0.4,0.075,0.7686706146380554,0.7070177644491196,0.40493820535948094,-0.11007139086723328,1.54506516456604,60,2.316355157084763,1.0970138385891914,3.462737473384869,-0.11634919047355652,15.559456825256348,60,-0.14851927976154602
0.4,0.1,0.7612125614735609,0.6954632811248302,0.4033688803777292,-0.19639819860458374,1.5293505787849426,60,2.344700344434629,1.0746399983763695,3.5444493929515857,-0.20759962499141693,15.838143825531006,60,-0.15784256471469002
0.4,0.15,0.7395491069648414,0.6284344494342804,0.4060086320687668,-0.18005286157131195,1.56093168258667,60,2.1663187207654118,1.04009660333395,3.190129907981451,-0.19032201170921326,14.575300693511963,60,-0.1516985071847617
0.4,0.25,0.7240074517874746,0.6456298381090164,0.41925811834158183,-0.3348071873188019,1.6077055931091309,60,2.1148564146618205,1.0161300487816334,3.2791160974233398,-0.35390259325504303,15.403594970703125,60,-0.09381825262936151
0.7,0.0,0.8314596427298966,0.8757970109581947,0.41310026661664073,-0.24061405658721924,1.5114407539367676,60,2.5221403092922023,1.1963363140821457,3.8468941673271715,-0.254337340593338,17.420541315339506,60,-0.20348183614007745
0.7,0.025,0.8100333162893851,0.8490812629461288,0.39410817121981734,-0.04534462094306946,1.5106428861618042,60,2.481006810426091,1.1237009912729263,3.7261305301762833,-0.04793083667755127,16.74293804168701,60,-0.16207540508757926
0.7,0.05,0.7817475077114068,0.7535334248095751,0.4028224048439967,0.03787104785442352,1.5447338223457336,60,2.3369875577860513,1.1277689263224602,3.4584814829882053,0.04003092646598816,15.439114689826965,60,-0.17013163147458593
0.7,0.075,0.759937547861288,0.7180032357573509,0.4090845385970778,-0.05902358889579773,1.5527390241622925,60,2.2857737069483846,1.1116510182619095,3.4307070605048686,-0.06238996982574463,16.07943630218506,60,-0.14576736830202322
0.7,0.1,0.744062650653844,0.7008789777755737,0.40995246118028805,-0.14455197751522064,1.551230251789093,60,2.1786179314057033,1.0593602359294891,3.208134714153994,-0.1527964025735855,15.121797919273376,60,-0.13539764952843764
0.7,0.15,0.7295631364298364,0.6615678556263447,0.4134769043406709,-0.2669794149696827,1.584298849105835,60,2.1437645909221223,1.014149621129036,3.15095333714023,-0.28220636025071144,14.321538805961609,60,-0.1362787462387417
0.7,0.25,0.7088361349112043,0.653719462454319,0.4225893483793865,-0.36051884293556213,1.6290060877799988,60,2.0401309560596324,0.9805622356943786,3.134255926029551,-0.3810806907713413,15.435284733772278,60,-0.08791462800979537
1.0,0.0,0.8299642116064205,0.876822323538363,0.4162348620375052,-0.2093336284160614,1.553282082080841,60,2.5047569113007437,1.198301300406456,3.8502131826354224,-0.2212727665901184,16.892138600349426,60,-0.19529102094208783
1.0,0.025,0.8045581060859452,0.8237301278859377,0.3905261670703433,-0.028758615255355835,1.5077921748161316,60,2.449762944088434,1.1019254997372627,3.7006197402884267,-0.03039887547492981,16.115116953849792,60,-0.1617829895821842
1.0,0.05,0.7770723706770999,0.7177283391356468,0.404780882392952,-0.12024648487567902,1.54989093542099,60,2.4009134670603087,1.136363945901394,3.7107546114444303,-0.12710465490818024,15.69321346282959,60,-0.13933067315368802
1.0,0.075,0.7547075219840432,0.7183342389762402,0.4072860692194583,-0.031151875853538513,1.5755024552345276,60,2.293679664283991,1.0586526542901993,3.479432780409655,-0.03292859345674515,15.673906564712524,60,-0.13391761344269992
1.0,0.1,0.7425315855381389,0.702765628695488,0.40909227555766486,-0.1073661670088768,1.557983160018921,60,2.199064504308626,1.0453241653740406,3.267429187476516,-0.11348967999219894,15.658147811889648,60,-0.12318835862129197
1.0,0.15,0.7265020751627163,0.6564055420458317,0.4070892896349182,-0.241417083889246,1.5865398049354553,60,2.1381387185926237,1.0046620815992355,3.1582914714936496,-0.2551860734820366,15.366938829421997,60,-0.1399046456191407
1.0,0.25,0.6964440223838513,0.6560846269130707,0.42349824917697665,-0.39186370000243187,1.627134382724762,60,2.038082485871079,0.9289783674757928,3.185659404601422,-0.41421331837773323,15.257383942604065,60,-0.07426612175084678
